Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,ODIs matach,Matches played,Innings,Total Run,Not Out,Highe Score,Average,Balls faced,Stick rate,100s,50s,4s,6s,Ct,St,ODIs matach 2,Matches played 2,B,R,Wickets,Avg,EC,SR,5WI,10WM,BBI,BBM
Aashish Rakesh Kapoor,25-03-1971,INDIA,Right-hand bat,Off-break,"February 22,1995",Australia,ODIs,17,6,43,0,19,7.166,63,68.25,0,0,2,1,1,0,ODIs,17,900,612,8,76.50,4.080,112.5,0,0,2/19,2/29
Ashok Omprakash Malhotra,26-01-1957,INDIA,Right-hand bat,Right-arm medium,"January 27,1982",India,ODIs,20,19,457,4,65,30.46,645,70.85,0,1,23,--,4,0,ODIs,20,6,0,0,--,0.000,--,0,0,0/0,0/0
Gursharan Singh,08-03-1963,INDIA,Right-hand bat,NaN,"March 8,1990",Australia,ODIs,1,1,4,0,4,4.000,10,40.00,0,0,0,0,1,0,ODIs,1,--,--,--,--,--,--,--,--,,
Margashayam Venkataramana,24-04-1966,INDIA,Right-hand bat,Off-break,"December 17,1988",India,ODIs,1,1,0,1,0*,--,0,--,0,0,0,0,--,--,ODIs,1,60,36,2,18.00,3.600,30.00,0,0,2/36,2/36
Pankaj Singh,06-05-1985,INDIA,Right-hand bat,Right-arm medium,"June 5,2010",India,ODIs,1,1,3,1,3*,--,3,100.0,0,0,0,0,1,0,ODIs,1,42,45,0,--,6.428,--,0,0,0/12,0/12
Sanjay Vijay Manjrekar,12-07-1965,INDIA,Right-hand bat,Off-break,"January 5,1988",India,ODIs,74,70,1994,10,105,33.23,3101,64.30,1,15,99,10,23,0,ODIs,74,8,10,1,10.00,7.500,8.000,0,0,1/2,1/2
